hc_DESPOT,hc_ExpertDSA,hc_ExpertHOSP,hc_POMCP,hc_Random,rdisc_DESPOT,rdisc_ExpertDSA,rdisc_ExpertHOSP,rdisc_POMCP,rdisc_Random,ttr_DESPOT,ttr_ExpertDSA,ttr_ExpertHOSP,ttr_POMCP,ttr_Random,Unnecessary_DSA,Unnecessary_HOSP,Unnecessary_POMCP,Unnecessary_Random
FALSE,FALSE,TRUE,FALSE,FALSE,-50000,-50000,8445.625,-50000,-50000,24,24,2,24,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,3850,-6020.021422,24,24,24,24,24,1,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,4250,-2365.375,24,24,24,24,24,1,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,3537.5,4107.5,-450,24,24,24,24,24,1,1,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,-1781.125,24,24,24,24,24,1,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,-1327.5,5000,-927.5,-23926.65103,24,24,24,24,24,1,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,-1327.5,4250,4250,-7308.40625,24,24,24,24,24,1,1,1,1
FALSE,FALSE,FALSE,FALSE,TRUE,-50000,-50000,-50000,-50000,-1611.413438,24,24,24,24,1,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,4250,5000,-15328.05465,24,24,24,24,24,0,1,0,1
FALSE,TRUE,FALSE,FALSE,FALSE,-50000,13278.875,-50000,-50000,-48500,24,3,24,24,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,-5627.5,24,24,24,24,24,1,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,5000,-450,-10518.81875,24,24,24,24,24,1,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,-1327.5,5000,-450,-6304.375,24,24,24,24,24,1,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,5000,4250,-14969.8305,24,24,24,24,24,0,0,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,4250,-450,24,24,24,24,24,1,1,1,1
FALSE,FALSE,TRUE,FALSE,TRUE,-50000,-50000,3728.875,-48500,-10133.23392,24,24,3,24,2,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,-327.5,-450,24,24,24,24,24,1,1,1,1
FALSE,TRUE,FALSE,TRUE,FALSE,-50000,9172.5,-50000,9172.5,-55265,24,2,24,2,24,0,0,0,0
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,4250,4250,3850,24,24,24,24,24,0,1,1,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,3850,4250,5000,-29863.85566,24,24,24,24,24,1,1,0,1
FALSE,FALSE,FALSE,FALSE,FALSE,5000,5000,5000,5000,-450,24,24,24,24,24,0,0,0,1
